Word,tf_idf
thermometer,2.4453e-06
tonsil,2.4453e-06
torment,2.4453e-06
trader,2.4453e-06
treble,2.4453e-06
unclean,2.4453e-06
unexplained,2.4453e-06
uninhibited,2.4453e-06
unjustifiably,2.4453e-06
unspecific,2.4453e-06
varsity,2.4453e-06
vulgarity,2.4453e-06
won,2.4453e-06
ziggurat,2.4453e-06
zoologist,2.4453e-06
ache,2.2735e-06
advantageous,2.2735e-06
affordable,2.2735e-06
ageless,2.2735e-06
ballet,2.2735e-06
bebop,2.2735e-06
betty,2.2735e-06
boiling,2.2735e-06
bong,2.2735e-06
bouncer,2.2735e-06
buster,2.2735e-06
castrate,2.2735e-06
chivalry,2.2735e-06
clint,2.2735e-06
compensation,2.2735e-06
crane,2.2735e-06
crocheting,2.2735e-06
decorated,2.2735e-06
dodgy,2.2735e-06
dusting,2.2735e-06
enigmatic,2.2735e-06
enroll,2.2735e-06
fallacious,2.2735e-06
fidget,2.2735e-06
fooling,2.2735e-06
frenetic,2.2735e-06
gamble,2.2735e-06
genitals,2.2735e-06
gilbert,2.2735e-06
glasses,2.2735e-06
gnome,2.2735e-06
gosling,2.2735e-06
greedy,2.2735e-06
hakeem,2.2735e-06
heartbeat,2.2735e-06
hogwash,2.2735e-06
jess,2.2735e-06
likeness,2.2735e-06
maria,2.2735e-06
metronome,2.2735e-06
mileage,2.2735e-06
modeling,2.2735e-06
mule,2.2735e-06
mummy,2.2735e-06
narcolepsy,2.2735e-06
newcomer,2.2735e-06
okra,2.2735e-06
ordeal,2.2735e-06
passport,2.2735e-06
pasted,2.2735e-06
pork,2.2735e-06
preachy,2.2735e-06
remix,2.2735e-06
retribution,2.2735e-06
rig,2.2735e-06
sermon,2.2735e-06
sludge,2.2735e-06
smother,2.2735e-06
spank,2.2735e-06
spotty,2.2735e-06
squid,2.2735e-06
stella,2.2735e-06
stile,2.2735e-06
stirring,2.2735e-06
tequila,2.2735e-06
tinker,2.2735e-06
treadmill,2.2735e-06
trig,2.2735e-06
triumph,2.2735e-06
tryout,2.2735e-06
usher,2.2735e-06
vaporizer,2.2735e-06
vintage,2.2735e-06
welder,2.2735e-06
welding,2.2735e-06
willow,2.2735e-06
wilt,2.2735e-06
yank,2.2735e-06
auction,2.131e-06
bilbo,2.131e-06
compute,2.131e-06
gum,2.131e-06
inconvenience,2.131e-06
knitting,2.131e-06
mercer,2.131e-06
sporadically,2.131e-06
trainer,2.131e-06
wager,2.131e-06
wrench,2.131e-06
apprehensive,1.7759e-06
apprentice,1.7759e-06
aspire,1.7759e-06
battlefield,1.7759e-06
cod,1.7759e-06
cucumber,1.7759e-06
depress,1.7759e-06
embroidery,1.7759e-06
gallon,1.7759e-06
greasy,1.7759e-06
hubby,1.7759e-06
medic,1.7759e-06
neatly,1.7759e-06
operator,1.7759e-06
overanalyze,1.7759e-06
reek,1.7759e-06
sapphire,1.7759e-06
talon,1.7759e-06
unloved,1.7759e-06
unto,1.7759e-06
ableno,1.7725e-06
acquisitive,1.7725e-06
actuallyone,1.7725e-06
aeon,1.7725e-06
aeroplane,1.7725e-06
aesthete,1.7725e-06
affectanimal,1.7725e-06
agrarian,1.7725e-06
agricultural,1.7725e-06
amethyst,1.7725e-06
annoyingness,1.7725e-06
annoyingsaw,1.7725e-06
anticlimactic,1.7725e-06
antiseptic,1.7725e-06
anythinglooking,1.7725e-06
anywhy,1.7725e-06
apologetics,1.7725e-06
apologizereally,1.7725e-06
apostropheif,1.7725e-06
appealingthank,1.7725e-06
applicator,1.7725e-06
archivist,1.7725e-06
artborder,1.7725e-06
artfully,1.7725e-06
arty,1.7725e-06
ase,1.7725e-06
assortment,1.7725e-06
assumeif,1.7725e-06
astronomically,1.7725e-06
avoider,1.7725e-06
avow,1.7725e-06
awesomecorrected,1.7725e-06
bain,1.7725e-06
balderdash,1.7725e-06
ballerina,1.7725e-06
banzai,1.7725e-06
barbecuethank,1.7725e-06
barbed,1.7725e-06
basedyes,1.7725e-06
beano,1.7725e-06
beastie,1.7725e-06
beater,1.7725e-06
bedah,1.7725e-06
bees,1.7725e-06
benefactor,1.7725e-06
betting,1.7725e-06
bezel,1.7725e-06
billiard,1.7725e-06
birthdayyea,1.7725e-06
bitidea,1.7725e-06
bitten,1.7725e-06
blasted,1.7725e-06
bluelong,1.7725e-06
bodywork,1.7725e-06
bog,1.7725e-06
boldness,1.7725e-06
bollock,1.7725e-06
bony,1.7725e-06
booklover,1.7725e-06
bourgeois,1.7725e-06
boysound,1.7725e-06
bragger,1.7725e-06
breakmen,1.7725e-06
breastfeeding,1.7725e-06
brillianceself,1.7725e-06
brioche,1.7725e-06
broomstick,1.7725e-06
bungling,1.7725e-06
burlap,1.7725e-06
buttery,1.7725e-06
calculative,1.7725e-06
cannon,1.7725e-06
caper,1.7725e-06
cappie,1.7725e-06
cardinal,1.7725e-06
carepretty,1.7725e-06
carp,1.7725e-06
caseanime,1.7725e-06
casket,1.7725e-06
catatonic,1.7725e-06
cathedral,1.7725e-06
catmy,1.7725e-06
cesspool,1.7725e-06
charactergood,1.7725e-06
characteristicactually,1.7725e-06
chewy,1.7725e-06
childill,1.7725e-06
chilliness,1.7725e-06
chippy,1.7725e-06
chopstick,1.7725e-06
chunky,1.7725e-06
circleone,1.7725e-06
civilianhere,1.7725e-06
classis,1.7725e-06
coasting,1.7725e-06
cohesion,1.7725e-06
collie,1.7725e-06
colonel,1.7725e-06
colonial,1.7725e-06
coloration,1.7725e-06
comfortablethink,1.7725e-06
compressed,1.7725e-06
conceivably,1.7725e-06
consequentially,1.7725e-06
considernot,1.7725e-06
constantlythink,1.7725e-06
contemptful,1.7725e-06
conversationbelieve,1.7725e-06
coolthread,1.7725e-06
copiously,1.7725e-06
